DeviceTag:,Xsens DOT 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-15 13:38:29.109 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 214883958, 0.771922, -0.26037446, -0.46585235, -0.345432, -0.0063381568, 2.67545E-4, 0.10243511, 0
2, 214900625, 0.77196217, -0.26037198, -0.46580058, -0.3454139, 0.028121283, -0.018722339, 0.12853146, 0
3, 214917292, 0.7718754, -0.26040703, -0.46594068, -0.3453925, 0.0023851066, -0.0052127694, 0.124967575, 0
4, 214933959, 0.77183586, -0.26042774, -0.46601266, -0.3453682, -0.0036948926, 0.017013136, 0.088005066, 0
5, 214950626, 0.7718226, -0.26037753, -0.46605307, -0.34538126, -0.0077766865, 0.016421944, 0.0996027, 0
6, 214967293, 0.7718237, -0.26029366, -0.4660988, -0.34538016, -0.0016631599, 0.022301229, 0.12954521, 0
7, 214983960, 0.7718091, -0.26020366, -0.46619365, -0.34535265, 0.025772162, 0.04213219, 0.119550705, 0
8, 215000627, 0.77177656, -0.26008365, -0.4663392, -0.34531903, 0.030151451, 0.008736898, 0.16219234, 0
9, 215017294, 0.77173734, -0.2599979, -0.46643847, -0.34533715, 0.011374351, -0.015068573, 0.11852646, 0
10, 215033961, 0.77168983, -0.25992507, -0.46655816, -0.3453364, -0.048064, 0.03609958, 0.109674454, 0
11, 215050628, 0.7716988, -0.2598446, -0.46656096, -0.3453732, -3.500213E-4, -0.06889831, 0.05943489, 0
12, 215067295, 0.77164286, -0.25976378, -0.46665132, -0.3454367, 0.019634273, -0.014254538, 0.09342003, 0
13, 215083962, 0.7716785, -0.25975573, -0.46658716, -0.34544992, 0.024517583, -0.030488508, 0.11454582, 0
14, 215100629, 0.77168274, -0.25973794, -0.46656147, -0.34548858, 0.008929119, -0.010938948, 0.043868065, 0
15, 215117296, 0.77164644, -0.25978112, -0.46648535, -0.34564006, 0.0073189316, -0.0026582396, 0.115530014, 0
16, 215133963, 0.7718382, -0.25955135, -0.46654812, -0.3452996, 0.023993893, 0.01167967, 0.12540531, 0
17, 215150630, 0.77184707, -0.25953904, -0.46650562, -0.34534636, -0.028555792, 0.007661801, 0.088570595, 0
18, 215167297, 0.7717467, -0.25964287, -0.4664379, -0.34558415, 0.016352879, -3.348224E-4, 0.121902466, 0
19, 215183964, 0.7721278, -0.25910965, -0.46672574, -0.34474343, 0.007790991, 7.054069E-4, 0.099267006, 0
20, 215200631, 0.7720518, -0.25917655, -0.46671072, -0.34488392, -0.016757436, 0.0020125106, 0.096241, 0
