DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-15 13:38:29.108 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 214932888, 0.02898, 0.6980041, -0.03647795, 0.7145768, 2.0302126, -0.1334123, -0.14226818, 0
2, 214949555, 0.029264, 0.6804012, -0.035960164, 0.7313718, 1.5466979, -0.11454578, -0.07213402, 0
3, 214966222, 0.029513586, 0.66508627, -0.035469223, 0.74533963, 1.1416248, -0.09006037, 0.0021924973, 0
4, 214982889, 0.029718557, 0.65405035, -0.035092562, 0.7550519, 0.8472977, -0.06426091, 0.02453804, 0
5, 214999556, 0.029855084, 0.6464518, -0.03480324, 0.76157564, 0.6456561, -0.061405506, 0.047774315, 0
6, 215016223, 0.029962778, 0.6411735, -0.03459541, 0.76603, 0.5192055, -0.045137085, 0.06227684, 0
7, 215032890, 0.030029511, 0.63740695, -0.034446616, 0.7691711, 0.4085359, -0.039416257, 0.058581352, 0
8, 215049557, 0.030077292, 0.6346487, -0.034342892, 0.7714513, 0.33822393, -0.04982689, 0.058540344, 0
9, 215066224, 0.03010624, 0.632562, -0.034291394, 0.7731643, 0.28713626, -0.03038146, 0.049575806, 0
10, 215082891, 0.030110901, 0.6309506, -0.034270726, 0.7744806, 0.28136873, -0.01874845, 0.0523386, 0
11, 215099558, 0.03010863, 0.6296878, -0.03426551, 0.77550805, 0.22302374, 0.0062802252, 0.06022358, 0
12, 215116225, 0.030078067, 0.62869704, -0.034296803, 0.77631134, 0.23471034, -0.0085722245, 0.06410313, 0
13, 215132892, 0.03007783, 0.6279, -0.03429179, 0.77695626, 0.16970061, -0.0018207924, 0.07007599, 0
14, 215149559, 0.030103887, 0.6271774, -0.034278434, 0.7775393, 0.117140435, -7.6846546E-4, 0.06991291, 0
15, 215166226, 0.030091025, 0.6265982, -0.034245126, 0.77800816, 0.12320189, -0.02327611, 0.055809975, 0
16, 215182893, 0.029944105, 0.6261075, -0.034085333, 0.7784157, 0.12746677, -0.0115319695, 0.077617645, 0
17, 215199560, 0.030000327, 0.62566566, -0.034077603, 0.778769, 0.10967809, -0.018283207, 0.062327385, 0
18, 215216227, 0.030080227, 0.6252703, -0.03410132, 0.7790825, 0.11228024, -0.014312764, 0.056243896, 0
19, 215232894, 0.030685399, 0.62490803, -0.034557257, 0.7793294, 0.1108266, -0.0054938085, 0.058485985, 0
20, 215249561, 0.03088229, 0.6245955, -0.034695048, 0.77956593, 0.08672697, -0.0033370205, 0.056456566, 0
21, 215266228, 0.030985082, 0.62431437, -0.034770135, 0.77978367, 0.078396454, -0.004773496, 0.06202221, 0
22, 215282895, 0.031304672, 0.6240402, -0.035043575, 0.779978, 0.09873684, -0.004197811, 0.06847191, 0
23, 215299562, 0.03221924, 0.62376225, -0.03579601, 0.7801289, 0.069994256, -0.0051905853, 0.068603516, 0
24, 215316229, 0.032279894, 0.62356305, -0.03585452, 0.78028303, 0.08086363, -0.006547323, 0.055140495, 0
25, 215332896, 0.032642785, 0.62338144, -0.036144637, 0.78039974, 0.06998067, -0.00967955, 0.07110596, 0
