DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-15 13:38:29.109 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 214893807, 0.8694016, 0.3267118, 0.31408265, 0.19685632, -1.3691137, 0.4969178, -0.079304695, 0
2, 214910474, 0.8622359, 0.33501723, 0.32702443, 0.19330713, -1.0336466, 0.4131856, -0.06804752, 0
3, 214927141, 0.8558521, 0.34217352, 0.33791852, 0.19038273, -0.7621014, 0.3189217, -0.055773735, 0
4, 214943808, 0.85114497, 0.34732062, 0.34559667, 0.1883712, -0.566296, 0.18599676, -0.027129173, 0
5, 214960475, 0.84792584, 0.35067365, 0.35084516, 0.18696919, -0.44111466, 0.11869186, 0.0041646957, 0
6, 214977142, 0.8457307, 0.35286215, 0.3544707, 0.18595271, -0.36839896, 0.113132425, 0.023973465, 0
7, 214993809, 0.84417385, 0.35441297, 0.35702485, 0.18519025, -0.2932812, 0.0906725, 0.013821602, 0
8, 215010476, 0.8430406, 0.3555273, 0.35888743, 0.18461542, -0.24590382, 0.08521007, 0.0030117035, 0
9, 215027143, 0.84218484, 0.3563349, 0.36031222, 0.18418798, -0.21959992, 0.08008961, -0.014544487, 0
10, 215043810, 0.84151113, 0.3569738, 0.36142442, 0.1838509, -0.18920194, 0.09440226, 0.0061540604, 0
11, 215060477, 0.8409829, 0.35752815, 0.36223504, 0.18359518, -0.17474958, 0.093029894, 0.021224976, 0
12, 215077144, 0.84054655, 0.3580113, 0.36286622, 0.18340532, -0.17292683, 0.06882545, 0.0067272186, 0
13, 215093811, 0.84015447, 0.35844633, 0.36342818, 0.18323956, -0.14018933, 0.037976414, 0.007890701, 0
14, 215110478, 0.8398469, 0.35876292, 0.36388037, 0.18313242, -0.11967889, 0.040168855, -0.008947372, 0
15, 215127145, 0.83960223, 0.35902053, 0.36423936, 0.18303603, -0.10250326, 0.036623046, -0.002204895, 0
16, 215143812, 0.8393892, 0.35924384, 0.3645533, 0.18294977, -0.09550038, 0.045996957, 0.0024251938, 0
17, 215160479, 0.83921385, 0.35940877, 0.36482078, 0.182897, -0.08121343, 0.027887711, -0.0035381317, 0
18, 215177146, 0.83903235, 0.35945523, 0.36511493, 0.18305194, -0.060960922, 0.012963975, 0.0075979233, 0
19, 215193813, 0.838637, 0.35907382, 0.3658144, 0.18421149, -0.041960534, 0.0031057126, -0.0102415085, 0
20, 215210480, 0.8385262, 0.35915306, 0.36599407, 0.18420458, -0.04655261, -0.00233504, -0.02227211, 0
21, 215227147, 0.8384263, 0.3591911, 0.3661708, 0.18423408, -0.027507069, -0.0037588174, 0.0018281937, 0
22, 215243814, 0.8383106, 0.35909763, 0.36642447, 0.1844381, -0.01989623, 0.016415462, 0.009547234, 0
23, 215260481, 0.83826864, 0.35909057, 0.3665616, 0.18436997, -0.056834202, 0.041589502, 0.0076112747, 0
24, 215277148, 0.83823115, 0.35909748, 0.36666209, 0.18432741, -0.08747962, 0.03113759, 0.028169632, 0
25, 215293815, 0.8382115, 0.3591823, 0.36669075, 0.1841942, -0.112133995, 0.008668726, 0.03405094, 0
26, 215310482, 0.83818346, 0.35932106, 0.36670047, 0.184032, -0.08929946, 0.002787877, 0.006999016, 0
27, 215327149, 0.8381392, 0.35946897, 0.36672783, 0.1838906, -0.06250317, 0.0012112167, 0.0055685043, 0
28, 215343816, 0.8379615, 0.35930791, 0.36705273, 0.18436554, -0.026143864, 0.025945831, -0.0087509155, 0
29, 215360483, 0.8378799, 0.35924292, 0.3672337, 0.18450285, -0.010376813, 0.051995594, 0.0045776367, 0
30, 215377150, 0.8379184, 0.3594035, 0.3671892, 0.1841031, -0.032148987, 0.030886361, 0.021899223, 0
31, 215393817, 0.83782303, 0.35934204, 0.36737522, 0.18428652, -0.043402415, 0.013399378, 0.024263382, 0
32, 215410484, 0.83776367, 0.3593275, 0.36747107, 0.1843932, -0.068110205, -0.005224392, 0.041545868, 0
33, 215427151, 0.83768797, 0.359272, 0.36757395, 0.18464048, -0.058835316, -0.015782474, 0.023799896, 0
34, 215443818, 0.8377009, 0.35941827, 0.36749953, 0.18444481, -0.019699091, 0.008765284, 0.0070314407, 0
35, 215460485, 0.8376967, 0.3595208, 0.36747456, 0.18431415, -0.009860721, 0.016374335, 0.005125046, 0
36, 215477152, 0.83761674, 0.3594111, 0.36765364, 0.18453377, -0.022025414, 0.036516875, 0.019052505, 0
37, 215493819, 0.83764976, 0.3595581, 0.36760017, 0.18420373, -0.025433538, 0.030933522, 0.019888878, 0
38, 215510486, 0.83763224, 0.35956547, 0.367642, 0.18418565, -0.0366188, -0.008083346, -0.0022602081, 0
39, 215527153, 0.83765566, 0.35967943, 0.3675811, 0.18397819, -0.0204568, -0.009731977, -0.006749153, 0
40, 215543820, 0.83770925, 0.35983536, 0.3674489, 0.18369278, -0.03123057, -0.004199585, 0.024717331, 0
41, 215560487, 0.8377178, 0.35986036, 0.3674162, 0.18367039, -0.047952916, 0.017816888, 0.0028715134, 0
42, 215577154, 0.8376722, 0.35978726, 0.36749718, 0.18385966, -0.015841257, 0.01710187, 0.0055360794, 0
43, 215593821, 0.83765984, 0.3598107, 0.3675336, 0.18379727, -0.01474582, 0.024413649, -0.011530876, 0
44, 215610488, 0.8376235, 0.3597713, 0.36763605, 0.18383536, -0.016083099, 0.02877774, -0.0038547516, 0
45, 215627155, 0.8375934, 0.3596988, 0.36773396, 0.1839178, -0.027515562, 0.009950574, 0.018033028, 0
46, 215643822, 0.8376573, 0.35979804, 0.36763418, 0.18363209, -0.0465164, 0.015570359, 0.023705482, 0
47, 215660489, 0.83765435, 0.35987383, 0.36760464, 0.1835562, -0.027348375, -0.014896021, 0.006504059, 0
48, 215677156, 0.8376227, 0.35992742, 0.3676202, 0.18356447, -0.011962861, -0.011090266, 0.0038785934, 0
49, 215693823, 0.8376864, 0.36020255, 0.36745602, 0.18306185, 0.034051307, -0.0078108837, 0.023627281, 0
50, 215710490, 0.83767474, 0.36023673, 0.36749202, 0.18297552, 0.024974667, 0.026458569, 0.0022649765, 0
51, 215727157, 0.83776677, 0.36040092, 0.36735564, 0.18250385, -0.003366105, 0.0024917223, 0.0015544891, 0
52, 215743824, 0.8376907, 0.36028916, 0.3675288, 0.18272582, -0.028029643, -0.021625549, 0.003868103, 0
53, 215760491, 0.8378087, 0.36053, 0.36733535, 0.18209721, -0.0021305254, -0.046270758, 0.019839287, 0
54, 215777158, 0.8377985, 0.36051795, 0.36737177, 0.18209451, -0.04308838, 0.014187932, 0.020338058, 0
55, 215793825, 0.8377883, 0.36046946, 0.36741963, 0.18214084, -0.014284713, 0.02993956, 0.016356468, 0
56, 215810492, 0.83776927, 0.36040598, 0.3674817, 0.18222928, -0.02598204, 0.038203057, 0.0075883865, 0
57, 215827159, 0.83770895, 0.3603672, 0.3676146, 0.18231554, -0.026799874, 0.028176267, -0.003071785, 0
58, 215843826, 0.83776706, 0.36063874, 0.3674855, 0.18177073, -0.020597389, 0.01986829, 0.033457756, 0
59, 215860493, 0.8377497, 0.36075398, 0.36748618, 0.18162012, -0.017541297, -0.008634529, 0.007624626, 0
60, 215877160, 0.83768934, 0.36075497, 0.36756438, 0.1817386, -0.0012590485, -0.0059814304, -0.00898838, 0
61, 215893827, 0.83776605, 0.36091518, 0.36741307, 0.18137212, -0.017076613, -0.015714973, -0.007349968, 0
62, 215910494, 0.8377604, 0.3608811, 0.36745185, 0.1813879, -0.012054948, 0.007414595, -6.456375E-4, 0
63, 215927161, 0.83767194, 0.3607404, 0.36764234, 0.18169017, 0.00812939, 0.010642793, 0.0012111664, 0
