DeviceTag:,Xsens DOT 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-06-16 16:50:55.975 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1703207292, 0.61850935, -0.43211883, -0.15725157, -0.63717467, 0.013373674, 0.10511166, 0.14391804, 0
2, 1703223959, 0.6189825, -0.43122318, -0.15624706, -0.63756907, 0.059139404, 0.07457711, 0.17676353, 0
3, 1703240626, 0.6192663, -0.43041384, -0.15566352, -0.63798296, 0.09347737, -0.026758077, 0.20240211, 0
4, 1703257293, 0.61928016, -0.42999658, -0.155709, -0.6382395, 0.014065, -0.019032128, 0.17244816, 0
5, 1703273960, 0.6192988, -0.42989287, -0.15578458, -0.63827294, -0.02157336, -0.0547828, 0.16479778, 0
6, 1703290627, 0.61932796, -0.4299125, -0.15585588, -0.638214, -0.014327181, -0.06565201, 0.120895386, 0
7, 1703307294, 0.6193635, -0.42993242, -0.15599966, -0.6381309, -0.04521522, -0.047718227, 0.122507095, 0
8, 1703323961, 0.61939305, -0.42999884, -0.15616584, -0.6380168, -0.029668551, -0.0057348954, 0.16612053, 0
9, 1703340628, 0.6193592, -0.43014517, -0.15641177, -0.6378909, -0.031346127, 0.038780615, 0.14677429, 0
10, 1703357295, 0.61923957, -0.43034726, -0.15660292, -0.63782394, -0.009557414, 0.011281369, 0.12363911, 0
11, 1703373962, 0.6190631, -0.43051037, -0.15674695, -0.6378495, -0.03700503, -0.0381255, 0.121489525, 0
12, 1703390629, 0.6188755, -0.4305684, -0.15688378, -0.63795894, -0.057909414, -0.14730287, 0.11388779, 0
13, 1703407296, 0.6187529, -0.43044356, -0.15701513, -0.63812983, -0.035900988, -0.19194734, 0.098052025, 0
14, 1703423963, 0.61871594, -0.43023345, -0.15704523, -0.63829976, 0.04661631, -0.13845332, 0.117277145, 0
15, 1703440630, 0.61872864, -0.43005106, -0.15695427, -0.6384328, 0.0599103, -0.09193379, 0.1332798, 0
16, 1703457297, 0.6189977, -0.42989275, -0.15696763, -0.63827527, 0.07010573, 0.01594072, 0.118982315, 0
17, 1703473964, 0.61903954, -0.42990693, -0.15693255, -0.63823384, 0.054990333, 0.0422102, 0.1210947, 0
18, 1703490631, 0.619233, -0.42991424, -0.15708026, -0.6380048, 0.010733316, 0.028048864, 0.14666748, 0
19, 1703507298, 0.6193361, -0.42991883, -0.15723874, -0.6378625, -0.028545845, -0.033820864, 0.12357521, 0
20, 1703523965, 0.619355, -0.4298599, -0.15733925, -0.63785905, -0.02648662, -0.04430094, 0.12884045, 0
21, 1703540632, 0.61941075, -0.4297019, -0.15740149, -0.63789606, -0.008844072, -0.06584379, 0.1298027, 0
